Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder
69817d75c35bb79b62367f56,learners lose consistency and motivation  after a few days of online learning,https://trello.com/c/frJQXvX0/1-learners-lose-consistency-and-motivation-after-a-few-days-of-online-learning,,,,,0,,0,0,0,0,2026-02-03T04:49:33.400Z,69817c9fb1478248c31369a9,Problem,69817c9eb1478248c3136968,Edtech Motivation App,false,,false,
69817d9cd7dfa073c86265ef,No rewards or remainders to keep them motivated,https://trello.com/c/eoRSvMu9/2-no-rewards-or-remainders-to-keep-them-motivated,,First Priority (red),,,0,,0,0,0,0,2026-02-03T04:49:49.236Z,69817c9fb1478248c31369a9,Problem,69817c9eb1478248c3136968,Edtech Motivation App,false,,false,
69817ed542bc94e002a7f93b,School/College Student online learning,https://trello.com/c/NnkYnkbU/3-school-college-student-online-learning,,First Priority (red),,,0,,0,0,0,0,2026-02-03T04:59:10.411Z,69817c9fb1478248c31369aa,Users,69817c9eb1478248c3136968,Edtech Motivation App,false,,false,
69817f451597256b21692911,Working professional doing skill-based course,https://trello.com/c/eWYAeTG2/4-working-professional-doing-skill-based-course,,Second Priority (orange),,,0,,0,0,0,0,2026-02-03T05:00:41.419Z,69817c9fb1478248c31369aa,Users,69817c9eb1478248c3136968,Edtech Motivation App,false,,false,
69817f9969cb755b018d2ae5,Send Remainders,https://trello.com/c/DpF8b4DD/5-send-remainders,,,,,0,,0,0,0,0,2026-02-03T04:54:49.166Z,69817c9fb1478248c31369ab,Ideas,69817c9eb1478248c3136968,Edtech Motivation App,false,,false,
69817fbbb6168198273f8b6f,Streak tracker,https://trello.com/c/kA2dfsdx/6-streak-tracker,,,,,0,,0,0,0,0,2026-02-03T04:55:23.808Z,69817c9fb1478248c31369ab,Ideas,69817c9eb1478248c3136968,Edtech Motivation App,false,,false,
69817fd6a8105ddc3db157f3,Giving Rewards for consistency,https://trello.com/c/wDUkSI7I/7-giving-rewards-for-consistency,,,,,0,,0,0,0,0,2026-02-03T04:55:50.977Z,69817c9fb1478248c31369ab,Ideas,69817c9eb1478248c3136968,Edtech Motivation App,false,,false,
69817fe6f1952a7bf6101b56,Dashboard,https://trello.com/c/2LBB4kHV/8-dashboard,,,,,0,,0,0,0,0,2026-02-03T04:56:06.792Z,69817c9fb1478248c31369ab,Ideas,69817c9eb1478248c3136968,Edtech Motivation App,false,,false,
6981803583926a1108465055,Providing online mentor feedback/guid,https://trello.com/c/ST00zGF7/9-providing-online-mentor-feedback-guid,,,,,0,,0,0,0,0,2026-02-03T04:58:21.140Z,6981801d25fda7b1179a392d,future improvement,69817c9eb1478248c3136968,Edtech Motivation App,false,,false,
6981808685a11f647c564123,Platform to group Study,https://trello.com/c/ZVZUFONL/10-platform-to-group-study,,,,,0,,0,0,0,0,2026-02-03T04:58:46.755Z,6981801d25fda7b1179a392d,future improvement,69817c9eb1478248c3136968,Edtech Motivation App,false,,false,
